"FID","IID","PC1","PC2","PC3","Group"
"AG0004","AG0004",-0.0838966,0.0247494,0.00230237,"3"
"Arcadia","Arcadia",-0.0432913,0.0159937,-0.00608702,"3"
"B2","B2",0.00909838,-0.0491016,0.0137275,"3"
"B71","B71",0.115279,-0.158063,0.0310056,"2"
"Bd8401","Bd8401",-0.0176802,0.00287835,-0.0167589,"3"
"BdBar","BdBar",0.10737,-0.151432,0.0293976,"2"
"BF0072","BF0072",-0.0639341,0.0201163,-0.00327114,"3"
"Bm88324","Bm88324",0.117614,-0.0368796,-0.105878,"2"
"BN0019","BN0019",-0.0638602,0.0196275,-0.00350225,"3"
"BN0119","BN0119",-0.0840509,0.026072,0.00168737,"3"
"BN0123","BN0123",-0.0839873,0.0260876,0.00169002,"3"
"BN0202","BN0202",-0.084486,0.0260958,0.00153634,"3"
"BN0252","BN0252",-0.0842336,0.0256323,0.00168046,"3"
"Br7","Br7",0.0964685,-0.136498,0.0265979,"2"
"Br80","Br80",0.102011,-0.145089,0.0325431,"2"
"CD0065","CD0065",-0.0847326,0.0259355,0.00182353,"3"
"CD0142","CD0142",-0.0844785,0.0250681,0.0020433,"3"
"CH0043","CH0043",-0.0840721,0.0258714,0.00182109,"3"
"CH0072","CH0072",-0.0845106,0.0257556,0.00196146,"3"
"CH0452","CH0452",-0.0846753,0.0260012,0.0016563,"3"
"CH0461","CH0461",-0.0839949,0.0255945,0.00191596,"3"
"CH0533","CH0533",-0.0841315,0.0257889,0.00182407,"3"
"CH1103","CH1103",-0.0847621,0.0261293,0.00170201,"3"
"CH1164","CH1164",-0.0843717,0.025693,0.00192636,"3"
"CHRF","CHRF",0.090292,-0.157528,0.0503121,"2"
"CHW","CHW",0.0928177,-0.15949,0.0512299,"2"
"CM0028","CM0028",-0.0857198,0.0263211,0.00173422,"3"
"FR1067","FR1067",0.0974421,-0.163364,0.0524994,"2"
"FR1069","FR1069",0.09819,-0.163861,0.0526071,"2"
"G17","G17",0.140163,-0.020161,-0.0791324,"2"
"G22","G22",0.119252,-0.0929402,-0.0599964,"2"
"GFSI1-7-2","GFSI1-7-2",-0.0459176,0.0167762,-0.00500637,"3"
"GG11","GG11",0.059739,-0.119476,0.0394685,"2"
"GN0001","GN0001",0.211338,0.24349,0.0672825,"1"
"GY0040","GY0040",-0.0850778,0.025277,0.00206133,"3"
"HO","HO",0.0968422,-0.166332,0.0531577,"2"
"IA1","IA1",-0.0828273,0.0239611,0.0020163,"3"
"IB33","IB33",-0.0817585,0.0235371,0.0020228,"3"
"IB49","IB49",-0.0832085,0.0241298,0.00179943,"3"
"IC17","IC17",-0.0824653,0.0239206,0.0020171,"3"
"IE1K","IE1K",-0.0828431,0.023944,0.00216756,"3"
"IN0017","IN0017",-0.0845993,0.0261056,0.0015248,"3"
"IN0054","IN0054",-0.085272,0.0261152,0.00152487,"3"
"IN0059","IN0059",-0.0844358,0.0260208,0.00152188,"3"
"IN0114","IN0114",-0.0837714,0.0257438,0.00134094,"3"
"IN0115","IN0115",-0.0836763,0.0255266,0.00159298,"3"
"IN0116","IN0116",-0.0828407,0.0254757,0.0017072,"3"
"INA168","INA168",-0.0833291,0.0254904,0.00163408,"3"
"IR00102","IR00102",0.230398,0.273794,0.0906116,"1"
"IR0013","IR0013",0.22707,0.270499,0.0893428,"1"
"IR0015","IR0015",0.228237,0.271662,0.0896975,"1"
"IR0083","IR0083",0.227056,0.270328,0.0895243,"1"
"IR0084","IR0084",0.229255,0.272851,0.0903367,"1"
"IR0088","IR0088",0.155817,0.0734726,-0.935519,"2"
"IR0095","IR0095",0.216536,0.260236,0.0848768,"1"
"IT0010","IT0010",-0.0848374,0.0259983,0.00167495,"3"
"JP0091","JP0091",-0.041812,0.0190294,-0.00638637,"3"
"LpKY-97-1","LpKY-97-1",0.0988868,-0.16827,0.0538306,"2"
"ML0060","ML0060",-0.0856568,0.0264615,0.00178372,"3"
"ML0062","ML0062",-0.0851558,0.0262556,0.0015994,"3"
"ML33","ML33",-0.0841738,0.0255229,0.00183906,"3"
"NG0012","NG0012",-0.0842802,0.0259334,0.00154012,"3"
"NG0054","NG0054",-0.0846408,0.0261071,0.00154081,"3"
"NP0058","NP0058",-0.0843095,0.0257532,0.00187831,"3"
"P28","P28",0.106695,-0.159255,0.0401036,"2"
"P29","P29",-0.0448168,0.00794226,0.00433709,"3"
"P3","P3",0.102136,-0.140806,0.0274243,"2"
"Pg1213-22","Pg1213-22",0.0921682,-0.148762,0.0410901,"2"
"PgKY4OV2-1","PgKY4OV2-1",0.0932263,-0.159528,0.0515708,"2"
"PgPA18C-02","PgPA18C-02",0.0953441,-0.161516,0.0523048,"2"
"PH42","PH42",0.116343,-0.117039,-0.0159634,"2"
"PL2-1","PL2-1",0.0966012,-0.163915,0.0516257,"2"
"SSFL02","SSFL02",0.111343,-0.044189,-0.0800779,"2"
"SSFL14-3","SSFL14-3",0.115947,-0.0475275,-0.0829004,"2"
"T25","T25",0.110417,-0.13864,0.0222539,"2"
"TG0004","TG0004",-0.0838308,0.0259072,0.0016807,"3"
"TG0032","TG0032",-0.083903,0.0260029,0.00166457,"3"
"TN0001","TN0001",-0.0840075,0.0250028,0.00201235,"3"
"TN0002","TN0002",-0.0841668,0.0250741,0.00202418,"3"
"TN0050","TN0050",-0.0844018,0.0258484,0.00157486,"3"
"TN0057","TN0057",-0.0845357,0.0259187,0.00157409,"3"
"TN0065","TN0065",-0.0837831,0.02483,0.00209708,"3"
"TN0090","TN0090",-0.083964,0.0249792,0.00204084,"3"
"TR0025","TR0025",-0.085039,0.0261339,0.00177495,"3"
"US0041","US0041",-0.0835091,0.024985,0.0021213,"3"
"US0064","US0064",-0.0424653,0.0193395,-0.00628215,"3"
"VT0027","VT0027",-0.0845548,0.0260283,0.00149659,"3"
"VT0030","VT0030",-0.0843527,0.0261515,0.00140433,"3"
"Z2-1","Z2-1",0.111696,-0.08931,-0.0555565,"2"
