"LD1","LD2","Group"
4.1392621912378,2.84929653831102,"3"
2.10129650014883,1.56418039162345,"3"
0.528661070769639,-2.23223263717073,"3"
-3.07158311574778,-9.14129803324195,"2"
1.09503788068724,0.32273885489849,"3"
-2.74630448689223,-8.66627550098623,"2"
3.1788454005725,2.19986328584034,"3"
-4.84756365467078,-5.19201660361969,"2"
3.18684994946336,2.16963591060935,"3"
4.12240848009536,2.91180595685091,"3"
4.11812217141425,2.91331401462373,"3"
4.15005982290038,2.9210187427889,"3"
4.14077662445072,2.89050349400727,"3"
-2.46621804861631,-7.81112783000346,"2"
-2.65129635684443,-8.24742319428538,"2"
4.16568108420375,2.92255371006359,"3"
4.17240705731134,2.87739702039004,"3"
4.13077029690016,2.90568791521971,"3"
4.15949193081525,2.91240955809748,"3"
4.16590269407939,2.92510783034153,"3"
4.13246378389265,2.89183076853647,"3"
4.1351102152,2.90437812123846,"3"
4.16727861575047,2.93322502648229,"3"
4.15502191229192,2.90633677997264,"3"
-1.80121163178066,-8.34470055614531,"2"
-1.90458165285671,-8.45458493346339,"2"
4.21291219285659,2.95646453671063,"3"
-2.10937375044958,-8.76432648509247,"2"
-2.14283632447005,-8.8017343080233,"2"
-6.85647483152623,-4.72134331724062,"2"
-4.08912224672379,-7.33246362415962,"2"
2.2168029306515,1.65858462268596,"3"
-0.883608560096175,-6.12806463596509,"2"
-18.4667948088348,7.29730945396191,"1"
4.19902635474251,2.89622315515329,"3"
-1.98848776819401,-8.81957560003537,"2"
4.09463572238174,2.78415806872674,"3"
4.04621158782427,2.74565635088834,"3"
4.11926853052241,2.80091245555009,"3"
4.07617986338225,2.77671664837901,"3"
4.09435197566289,2.78567502642739,"3"
4.15865990854486,2.9266373541647,"3"
4.19896371687604,2.94026937340737,"3"
4.14808387538887,2.91728668470447,"3"
4.12469525082209,2.89005371186599,"3"
4.12112385834508,2.88156046819636,"3"
4.07007743414237,2.8609539305642,"3"
4.09203620391758,2.86416047565527,"3"
-20.3882272184806,8.44919397074878,"1"
-20.1157529190336,8.3577226964839,"1"
-20.212153676736,8.39017439453238,"1"
-20.1240082174271,8.35866159953558,"1"
-20.3029798922331,8.42803660377654,"1"
-1.20648811260167,-9.57731263235792,"2"
-19.2673994463451,8.07792043432231,"1"
4.17172531303822,2.92380775141318,"3"
1.92832982795756,1.66699655844799,"3"
-2.07789041213644,-8.95528935795927,"2"
4.20630993835214,2.96394212241233,"3"
4.18686791982441,2.94624855434176,"3"
4.13333148216964,2.88372070596644,"3"
4.13921811909531,2.90606444894348,"3"
4.15853764021546,2.92261569175635,"3"
4.14637025093612,2.90633994236736,"3"
-2.61877812842932,-8.86696945991074,"2"
2.29449095058048,1.30154853223207,"3"
-2.718761186547,-8.1256780818842,"2"
-2.04336410200122,-8.0679425521358,"2"
-1.94661791283047,-8.47324435898497,"2"
-2.02176932677215,-8.58773155031204,"2"
-3.71317758080547,-7.89643086868021,"2"
-2.02158185293488,-8.70444763366819,"2"
-4.5900103184152,-5.16922771565231,"2"
-4.75588105254383,-5.46270584216859,"2"
-3.20638537923573,-8.26136100499975,"2"
4.11538737595557,2.90137193147994,"3"
4.11582197725858,2.90588637937142,"3"
4.14455655282518,2.86314501620333,"3"
4.15123385887411,2.86994217325293,"3"
4.14971474699472,2.90663080674878,"3"
4.15505838366427,2.91271313725173,"3"
4.13510918880823,2.85147792169158,"3"
4.14234053784702,2.86123480461213,"3"
4.17723869648647,2.934573822047,"3"
4.11561586599023,2.85468549319716,"3"
1.96023173115478,1.69650821756095,"3"
4.16125712038051,2.92313492229795,"3"
4.14528663920507,2.92091606976367,"3"
-3.79582723264774,-6.98361262154981,"2"
