Sequence,total,primary,secondary,supplementary,duplicates,primary_duplicates,mapped,primary_mapped,paired_in_sequencing,read1,read2,properly_paired,singletons,unmapped
AG0004,14592207,12551307,0,48281,0,0,12599588,0,14543926,7271963,7271963,12139256,149137,1992619
BN0123,9937668,8663566,0,44094,0,0,8707660,0,9893574,4946787,4946787,8308252,116666,1230008
CH0461,16620893,15150508,0,50977,0,0,15201485,0,16569916,8284958,8284958,14739268,111228,1419408
G22,6372205,5353489,0,36737,0,0,5390226,0,6335468,3167734,3167734,5280428,26027,981979
IE1K,8127130,7182571,0,69180,0,0,7251751,0,8057950,4028975,4028975,7047388,37311,875379
IR0015,17648916,14660580,0,82876,0,0,14743456,0,17566040,8783020,8783020,13992938,238216,2905460
ML33,4123811,3557074,0,35597,0,0,3592671,0,4088214,2044107,2044107,3490478,21236,531140
PH42,2138588,1796409,0,23304,0,0,1819713,0,2115284,1057642,1057642,1736526,15249,318875
TN0057,15170565,13273490,0,57521,0,0,13331011,0,15113044,7556522,7556522,12766982,172110,1839554
Arcadia,2395926,2039058,0,34470,0,0,2073528,0,2361456,1180728,1180728,1966096,17834,322398
BN0202,10871986,9574216,0,41556,0,0,9615772,0,10830430,5415215,5415215,9224196,118956,1256214
CH0533,11543000,10412366,0,47238,0,0,10459604,0,11495762,5747881,5747881,10047708,101006,1083396
GFSI1-7-2,47816125,36783052,0,35467,0,0,36818519,0,47780658,23890329,23890329,34471476,382248,10997606
IN0017,7200346,6183173,0,29136,0,0,6212309,0,7171210,3585605,3585605,5942470,77609,988037
IR0083,14051512,11916673,0,68794,0,0,11985467,0,13982718,6991359,6991359,11370256,186695,2066045
NG0012,9486090,8222787,0,40484,0,0,8263271,0,9445606,4722803,4722803,7868558,125039,1222819
PL2-1,6689378,5681504,0,46154,0,0,5727658,0,6643224,3321612,3321612,5586964,42320,961720
TN0065,16045920,13860784,0,55018,0,0,13915802,0,15990902,7995451,7995451,13374470,172622,2130118
B2,464467,397469,0,4435,0,0,401904,0,460032,230016,230016,392134,1397,62563
BN0252,15067680,13149222,0,63790,0,0,13213012,0,15003890,7501945,7501945,12601406,196056,1854668
CH1103,10036214,9083278,0,30718,0,0,9113996,0,10005496,5002748,5002748,8809164,82746,922218
GG11,1187056,995546,0,8222,0,0,1003768,0,1178834,589417,589417,977186,8164,183288
IN0054,15949676,14038066,0,61074,0,0,14099140,0,15888602,7944301,7944301,13542796,141632,1850536
IR0084,20356013,16674937,0,94949,0,0,16769886,0,20261064,10130532,10130532,15913406,268951,3586127
NG0054,10590503,9279051,0,39133,0,0,9318184,0,10551370,5275685,5275685,8942208,115139,1272319
SSFL02,3387358,2811094,0,24148,0,0,2835242,0,3363210,1681605,1681605,2769050,17910,552116
TN0090,13977922,12278550,0,51890,0,0,12330440,0,13926032,6963016,6963016,11854436,144764,1647482
B71,19392697,16603233,0,245961,0,0,16849194,0,19146736,9573368,9573368,16220758,109879,2543503
Br7,6545075,5615206,0,21261,0,0,5636467,0,6523814,3261907,3261907,5558952,14904,908608
CH1164,8323560,7716370,0,25098,0,0,7741468,0,8298462,4149231,4149231,7515884,49546,582092
GN0001,15763678,13144923,0,79356,0,0,13224279,0,15684322,7842161,7842161,12509588,234857,2539399
IN0059,7192047,6280359,0,30347,0,0,6310706,0,7161700,3580850,3580850,6035568,75067,881341
IR0088,23409387,18622925,0,119721,0,0,18742646,0,23289666,11644833,11644833,17713362,308917,4666741
NP0058,14939157,13565014,0,46155,0,0,13611169,0,14893002,7446501,7446501,13155654,124364,1327988
SSFL14-3,3891973,2961923,0,29589,0,0,2991512,0,3862384,1931192,1931192,2883808,34897,900461
TR0025,19521579,17845685,0,68245,0,0,17913930,0,19453334,9726667,9726667,17307954,168011,1607649
Bd8401,1962301,1743469,0,11183,0,0,1754652,0,1951118,975559,975559,1715986,11079,207649
Br80,6952599,5951470,0,43391,0,0,5994861,0,6909208,3454604,3454604,5865082,36834,957738
CHRF,3189298,2546445,0,23110,0,0,2569555,0,3166188,1583094,1583094,2483658,31579,619743
GY0040,13584080,11553311,0,51444,0,0,11604755,0,13532636,6766318,6766318,11123058,162479,1979325
IN0114,15191168,13252400,0,64722,0,0,13317122,0,15126446,7563223,7563223,12729238,169542,1874046
IR0095,21815439,17880504,0,102675,0,0,17983179,0,21712764,10856382,10856382,17073032,284054,3832260
P28,13468231,11036121,0,153587,0,0,11189708,0,13314644,6657322,6657322,9737822,347155,2278523
T25,18910018,16835368,0,130580,0,0,16965948,0,18779438,9389719,9389719,16573104,86258,1944070
US0041,10166714,8839788,0,46534,0,0,8886322,0,10120180,5060090,5060090,8446884,132734,1280392
BdBar,7224229,6220114,0,39385,0,0,6259499,0,7184844,3592422,3592422,6154792,27298,964730
CD0065,12737115,11280262,0,60167,0,0,11340429,0,12676948,6338474,6338474,10808514,137078,1396686
CHW,3217797,2757284,0,19973,0,0,2777257,0,3197824,1598912,1598912,2710520,21228,440540
HO,6126339,5164421,0,35869,0,0,5200290,0,6090470,3045235,3045235,5095618,31787,926049
IN0115,17110485,14999987,0,71477,0,0,15071464,0,17039008,8519504,8519504,14437432,172321,2039021
IT0010,20713616,18178267,0,78264,0,0,18256531,0,20635352,10317676,10317676,17547762,219303,2457085
P29,16054720,13313684,0,145222,0,0,13458906,0,15909498,7954749,7954749,0,0,2595814
TG0004,10422509,9254845,0,47007,0,0,9301852,0,10375502,5187751,5187751,8908340,103345,1120657
US0064,18981737,15661543,0,90241,0,0,15751784,0,18891496,9445748,9445748,14911634,248637,3229953
BF0072,11508220,9351212,0,53346,0,0,9404558,0,11454874,5727437,5727437,8859390,188936,2103662
CD0142,18183317,15923214,0,67057,0,0,15990271,0,18116260,9058130,9058130,15346300,206412,2193046
CM0028,25199296,22124854,0,95382,0,0,22220236,0,25103914,12551957,12551957,21345166,267840,2979060
IA1,3055937,2729406,0,19721,0,0,2749127,0,3036216,1518108,1518108,2686916,13954,306810
IN0116,18009769,15753401,0,70597,0,0,15823998,0,17939172,8969586,8969586,15181014,175163,2185771
JP0091,18254971,15911419,0,78985,0,0,15990404,0,18175986,9087993,9087993,15288092,186365,2264567
P3,17977941,15538274,0,172915,0,0,15711189,0,17805026,8902513,8902513,15224800,101564,2266752
TG0032,14443190,12769638,0,62732,0,0,12832370,0,14380458,7190229,7190229,12274648,155622,1610820
VT0027,9833141,8537493,0,34795,0,0,8572288,0,9798346,4899173,4899173,8223448,110273,1260853
Bm88324,2616638,2195853,0,22650,0,0,2218503,0,2593988,1296994,1296994,2138096,23111,398135
CH0043,18779612,16985362,0,54780,0,0,17040142,0,18724832,9362416,9362416,16531582,135170,1739470
FR1067,20007579,15798849,0,70507,0,0,15869356,0,19937072,9968536,9968536,15110844,323285,4138223
IB33,1527150,1326378,0,10230,0,0,1336608,0,1516920,758460,758460,1292356,10864,190542
INA168,45567317,39152455,0,32639,0,0,39185094,0,45534678,22767339,22767339,38054086,192247,6382223
LpKY-97-1,8074245,6770766,0,44921,0,0,6815687,0,8029324,4014662,4014662,6699038,25056,1258558
Pg1213-22,5049050,4390225,0,27548,0,0,4417773,0,5021502,2510751,2510751,4344046,16221,631277
TN0001,12383972,10783078,0,46568,0,0,10829646,0,12337404,6168702,6168702,10397490,128050,1554326
VT0030,12435925,11054465,0,44835,0,0,11099300,0,12391090,6195545,6195545,10685472,120017,1336625
BN0019,14862368,12275772,0,76034,0,0,12351806,0,14786334,7393167,7393167,11647910,238536,2510562
CH0072,13579438,12423538,0,39796,0,0,12463334,0,13539642,6769821,6769821,12095274,84646,1116104
FR1069,22710888,18092202,0,84324,0,0,18176526,0,22626564,11313282,11313282,17293976,368272,4534362
IB49,6037838,5258434,0,35376,0,0,5293810,0,6002462,3001231,3001231,5200638,18984,744028
IR00102,22022974,18566470,0,105992,0,0,18672462,0,21916982,10958491,10958491,17745250,284052,3350512
ML0060,16337920,14579570,0,65144,0,0,14644714,0,16272776,8136388,8136388,14065566,174252,1693206
PgKY4OV2-1,25810085,22616095,0,49971,0,0,22666066,0,25760114,12880057,12880057,21985430,285057,3144019
TN0002,14366112,12499809,0,55652,0,0,12555461,0,14310460,7155230,7155230,12040666,155125,1810651
Z2-1,47610818,39578453,0,29986,0,0,39608439,0,47580832,23790416,23790416,38370604,376163,8002379
BN0119,8403397,7369939,0,37279,0,0,7407218,0,8366118,4183059,4183059,7064808,95687,996179
CH0452,10593311,9480323,0,42879,0,0,9523202,0,10550432,5275216,5275216,9151026,101025,1070109
G17,4150463,3550544,0,37909,0,0,3588453,0,4112554,2056277,2056277,3467602,31226,562010
IC17,3787520,3322024,0,27620,0,0,3349644,0,3759900,1879950,1879950,3260980,18580,437876
IR0013,17959491,14868365,0,76189,0,0,14944554,0,17883302,8941651,8941651,14212530,235395,3014937
ML0062,11991161,10734285,0,58957,0,0,10793242,0,11932204,5966102,5966102,10293226,126119,1197919
PgPA18C-02,32899705,27817788,0,63047,0,0,27880835,0,32836658,16418329,16418329,26972772,414072,5018870
TN0050,15147937,13701575,0,56747,0,0,13758322,0,15091190,7545595,7545595,13259372,144899,1389615
