"Sample_ID","Dominant_Cluster","Assigned_Color"
"AG0004",2,"lightblue"
"Arcadia",3,"olivedrab"
"B2",10,"pink"
"B71",10,"pink"
"Bd8401",10,"pink"
"BdBar",10,"pink"
"BF0072",3,"olivedrab"
"Bm88324",3,"olivedrab"
"BN0019",3,"olivedrab"
"BN0119",6,"cyan"
"BN0123",6,"cyan"
"BN0202",2,"lightblue"
"BN0252",5,"purple"
"Br7",10,"pink"
"Br80",10,"pink"
"CD0065",8,"red"
"CD0142",4,"gold"
"CH0043",9,"green"
"CH0072",9,"green"
"CH0452",6,"cyan"
"CH0461",9,"green"
"CH0533",2,"lightblue"
"CH1103",9,"green"
"CH1164",9,"green"
"CHRF",10,"pink"
"CHW",10,"pink"
"CM0028",5,"purple"
"FR1067",10,"pink"
"FR1069",10,"pink"
"G17",10,"pink"
"G22",10,"pink"
"GFSI1-7-2",3,"olivedrab"
"GG11",10,"pink"
"GN0001",7,"orange"
"GY0040",5,"purple"
"HO",10,"pink"
"IA1",2,"lightblue"
"IB33",6,"cyan"
"IB49",4,"gold"
"IC17",8,"red"
"IE1K",8,"red"
"IN0017",6,"cyan"
"IN0054",8,"red"
"IN0059",6,"cyan"
"IN0114",6,"cyan"
"IN0115",6,"cyan"
"IN0116",4,"gold"
"INA168",2,"lightblue"
"IR00102",7,"orange"
"IR0013",7,"orange"
"IR0015",7,"orange"
"IR0083",7,"orange"
"IR0084",7,"orange"
"IR0088",7,"orange"
"IR0095",7,"orange"
"IT0010",2,"lightblue"
"JP0091",3,"olivedrab"
"LpKY-97-1",10,"pink"
"ML0060",5,"purple"
"ML0062",8,"red"
"ML33",5,"purple"
"NG0012",5,"purple"
"NG0054",5,"purple"
"NP0058",9,"green"
"P28",10,"pink"
"P29",10,"pink"
"P3",10,"pink"
"Pg1213-22",10,"pink"
"PgKY4OV2-1",10,"pink"
"PgPA18C-02",10,"pink"
"PH42",10,"pink"
"PL2-1",10,"pink"
"SSFL02",10,"pink"
"SSFL14-3",10,"pink"
"T25",10,"pink"
"TG0004",8,"red"
"TG0032",8,"red"
"TN0001",1,"tomato"
"TN0002",1,"tomato"
"TN0050",6,"cyan"
"TN0057",6,"cyan"
"TN0065",1,"tomato"
"TN0090",1,"tomato"
"TR0025",2,"lightblue"
"US0041",8,"red"
"US0064",3,"olivedrab"
"VT0027",4,"gold"
"VT0030",4,"gold"
"Z2-1",10,"pink"
